,summary
1055, knockout of the nuc2 gene induces expression of some rdna variants and hypermethylation of some sequences of pre - rrna. disruption of nuc1 - 2 gene has much weaker effects. The results may lead to more efficient agriculture if an exaggerated response may reduce plant development under suboptimal conditions.
1056,". methods all methods can be found in the accompanying transparent methods supplemental file. All methods are transparent. methods and can be used in the same way as any other transparent methods. methods. For confidential support call the Samaritans on 08457 90 90 90 or visit a local Samaritans branch, see www.samaritans.org for details."
1057,"Seedlings were germinated in the same spaceflight hardware during 4 days with a day / night cycle of illumination. Half of the samples were exposed to 2 days of darkness and the other group to two days of continuous red light. After 6 days growth in the culture chamber ( cc ), the experiment was completed and the phenotypes of the three mutants were observed. seedling growth was homogeneous within each cassette, with clearly smaller seedlings in the case of the nuc1 - 2 mutant."
1058,"We compared seedlings with the differential illumination during the last 2 days of the plant growth period for each of the lines used ( wt, nuc1 - 2, and nuc2 - 2 ). the number of differentially expressed genes ( degs ) in the wt is 1, 428 genes, of which 1, 067 have their expression activated and 361 have it repressed. in the nuc 1 - 2 mutant, the total number of degs is lower ( 1, 001 ), mainly at the expense of the up - regulated genes ( 633 are over - expressed and 368 are repressed ). the effect is clearer in the dark samples, because the red light stimulation"
1059,"The number of degs from the comparison ( red light versus darkness ) in the nuc2 - 2 mutant is very similar as in the wt. red light up - regulated genes affected only 298 genes in the Wt, 134 genes in nuc1 - 2 and 199 genes for nuc 2 - 2. among degs down - regulated by the red light compared with the dark, there is a similar number of unique degs for each of them."
1060,"The nuc1 - 2 genotype is the only one lacking an increased secondary metabolism, together with a response to stress elements ( cold ) observed in both wt and nuc2 - 2. red light photostimulation versus darkness mainly leads to an unequivocal activation of genes involved in different phases of photosynthesis in all three a. thaliana lines examined."
1061,"Red light photostimulation reduces expression of genes involved in the response to different stimuli ( temperature, hypoxia, light, abscisic acid, oxidative stress ) as well as the circadian rhythm of plants. dissecting transcriptional status for each genotype for illumination conditions at normal earth gravity to better understand the differences."
1062,"The number of degs between the wt and nuc2 - 2 mild mutant peaked to 225 when red light photostimulation was provided. Most functional categories ( go terms ) appearing up - regulated in the nuc1 - 2 mutant are related to the cell wall ( cell wall macromolecule catabolic process, pectin biosynthetic process)"
1063,"The up - regulated processes when red light is applied are quite different. degs appeared involved in cell wall ( structural constituents of cell wall ) and in development ( positive regulation of growth, post - embryonic plant morphogenesis, cellular response to ethylene stimulus ). In the nuc1 - 2 versus nuc2 - 2 comparison, many genes with a red light - activated expression were involved in ribosome biogenesis."
1064," genes involved in long - day photoperiodism, flowering, rhythmic process, and response to light intensity were also less represented. cellular responses to light stimulus category was over - represented in both nucleolin mutants with respect to wt. gene categories repressed only in the nuc1 - 2 versus nuc2 - 2 comparison were involved in the spliceosome, protein demethylation, chromatin organization, mrna binding, and histone acetyltransferase activity."
1065,"The networks show that processes such as cell cycle ( left part or up - regulated genes ), circadian rhythms, and stress responses are already affected in the 1× g control conditions as a reference for the seedling growth spaceflight experiments. gene in each node is represented by a chart indicating the functional category to which each one belongs ( following the color legend )."
1066,Spaceflight experiments can have several limitations that are not often present in other biological - omics works. A specific constraint for plant space biology is the limited number of different mutants / genotypes that can be used in a spaceflight experiment in true microgravity. The use of nucleolin mutants is a promising choice to provide insight into cell cycle and stress response mechanisms.
1067,"Red light illumination mainly produces the activation of genes involved in photosynthesis, cell wall modification, drug catabolism, pathogenesis, and biotic stress response. Different abiotic stimuli responses ( temperature, hypoxia, light, abscisic acid, oxidative stress ) are down - regulated by the photostimulation treatment, as well as the circadian rhythm of plants. gravitational stress could be counteracted by changing phototropic stimuli."
1068,"In a stress condition such as darkness, the nuc2 protein is capable of rescuing functions that nuc1 protein performs under normal growth conditions. differential role of nucleolin mutants ' transcriptomic baseline may offer new insight in spaceflight experiments. differential transcriptional response is observed when comparing the two nucleolin mutant."
1069,"Nucleolin mutant lines, compared with wt, have genes up - regulated by red light involved in different response processes, such as the response to hypoxia, drug, antibiotic, salicylic acid, and wounding. These response processes are extended in the nuc2 - 2 versus wt comparison, including response to cold, bacteria, and abscisic acid."
1070,"Nuc2 protein can replace the essential functions of nuc1 in orbit, and how light can modulate it. Cell cycle and ribosome biogenesis functions required to be restored in microgravity are also light dependent. We anticipate confirming that the duplicated nucleolin gene system works during spaceflight will lead us to discover novel mechanisms for plant adaptation."
1071,"The space environment presents stressors that include radiation, microgravity, and isolation. understanding how these factors affect biology is crucial for safe and effective crewed space exploration. we have formed an international consortium of scientists who aim to develop better standardization guidelines of space biology ( especially omics ) data."
1072,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of the U.S. for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots. We will feature a selection of the best shots from across the globe.
1073,"The response to heat in desiccation tolerant plants is rarely studied. We subjected hydrated pleopeltis polypodioides fronds to temperatures up to 50°c and dehydrated fronds up to 65°c for 24 h. The effect of heat stress was evaluated using morphological changes, photosystem ( ps ) ii efficiency, and metabolic indicators."
1074," introduction heat stress is one of the major abiotic stresses limiting plant growth, yield, and productivity. Heat stress uncouples electron transport activity, atp synthesis and variable ( f v ), and maximum ( f m ) chlorophyll fluorescence. heat stress affects activity of the antioxidative enzymes superoxide dismutase ( sod) and catalase ( cat)"
1075,Studies typically report the combined effects of heat and drought stress. This approach obscures the individual stress response. separating heat from desiccation stress is not possible in the field and difficult to establish even under laboratory conditions. plants that are especially well - suited to study desiccence stress are “ resurrection ” plants.
1076,"We studied the response of the desiccation tolerant fern pleopletis polypodioides in dry and hydrated fronds. In response to dehydration, the ventral surface curls inward and the dorsal surface, covered with peltate scales, remains exposed. The folding mechanisms, also demonstrated by other resurrection plants, are thought to be a defensive mechanism against photooxidation. independent of hydration, oxidative and antioxidants are sensitive to heat."
1077,"Dried tissue showed no effects, but discolorations became visible after rehydration. exposure to 55°c resulted in patchy browning along the mid - rib ( rachis ) of the frond ( figure 2d ) ; after 60°c fronds were slightly discolored and after 65°c completely discoloured. submersed and partly submered fronds showed no effect at 30°c but after exposure > 40°c submerses showed browning."
1078,"The chlorophyll fluorescence ( f t ) of pleopeltis fronds increased over time and reached control levels within 5 h for temperatures up to 35°c. exposure to higher temperatures ( ≤55°c ) required a recovery period of 24 h. despite the high f t values, the q y decreased with higher temperatures. beyond 45°c, q y efficiency decreased steadily with increasing temperature."
1079,"F t of partially submersed fronds decreased after exposure to temperatures higher than 40°c. beyond 45°c, q y efficiency decreased steadily with increasing temperature. after recovery ( at room temperature for 24 h ), f t and q y of 30 and 35°c treated samples did not differ from controls. in 40°C treated samples q y remained significantly lower than base - line values. unchanging but measurable f t values in ≥ 45°C fronds indicates degradation of ps ii."
1080, electrolyte leakage measured as conductivity of external water after 24 h at various temperatures. elemental analysis of the leachate revealed that k + is the major released ion followed by ca + 2 and s. na + and mg 2 + were present at lower quantities. dried fronds showed significantly lower activity than hydrated tissue.
1081,Dried fronds showed significantly lower activity than hydrated tissue below 45°c but their reducing capacity exceeded that of submersed tissue at higher temperatures. fully and partly submerged fronds responded similarly and showed their highest values at 35°c ( figure 7 ). higher temperatures led to a decrease on peroxides that was less in dried than in submered fronds.
1082,"Dried fronds showed a steady increase with temperature with a maximum at 40°c. partly and fully submersed samples reached their maximum at 35°c but showed lower levels of looh than dried fronds at 45 and 50°c ( figure 8 ), likely related to damaged metabolism, which weakens the response. The maximum looh values signal the onset of non - compensated, i. e., damaging, heat stress."
1083,"Glutathione ( gsh) consumption responded stronger to desiccation than heat stress. consumption in dried fronds decreased at 45°c compared to 30 – 40°c treated samples. The extent of submersion had no effect. The total fa content in dehydrated fronds increased up to 35°c but decreased at higher temperatures. In partly and fully submersed fronds, the total fatty acid reached its peak at 30°c."
1084," linolenic acid ( 18 : 3 ) was the dominant fa at all temperatures. The percentage of unsaturated fatty acids in 30°c, dried and partly submersed samples was 12 and 5 % lower than at 25°c. exposure to temperatures higher than 30°C decreased unsaturation. regardless of the hydration condition, after exposure to temperature of 45°c and higher, all fas showed reduced but equal quantities."
1085,"Our data describe diverse responses to separate desiccation and high temperature stresses. heat treatments of 24 h exceeds naturally occurring conditions but provides enough time to assess metabolic responses. because of the reduced metabolism under dry conditions, it is likely that dry tissue shows reduced susceptibility to heat damage."
1086,"Pectin affects the elasticity of the cell wall ( willats et al., 2001 ) and heat sensitivity. loss of pectin functionality leads to increased cell wall porosity, brittleness, and conductive evaporation. fronds exposed to 30 – 50°c fully expanded upon rehydration ( at 25°c ) and did not show necrosis."
1087,"Based on browning, our morphological data indicate that 40°c is the threshold for heat damage for hydrated pleopeltis fronds. In contrast, dried fronds can tolerate > 60°c ( figure 2 ). photosynthetic susceptibility dried frond fluorescence ( f t ) and quantum yield ( q y ) of dried frondo were lower than in fresh fronds but readily detectable. after dry fronds were exposed to > 50°c, q y was undetectable and f t decreased."
1088," fronds re - hydrated after 60°c appeared photosynthetically functional but at significantly reduced efficiency. photosynthetic activity ( q y ) in re- hydrated fronds after 65°c was not detectable. heat exerts long - term stress on the ps ii system, likely by interfering with water oxidation complex."
1089," electrolyte leakage an increase in conductivity of the external medium indicates cell membrane damage and efflux of ions ( ilik et al., 2018 ). high conductivity in fully submersed samples relative to partly submersing suggests that the integrity of the membrane is affected by the combination of heat and extent of immersion. absence of gas exchange seems to negatively impact membrane stability, especially at temperatures > 35°c."
1090,Photosynthetic data and cation leakage suggest that thermal tolerance of hydrated fronds is 40°c. metabolism metabolically active cells rely on a steady supply of reduced compounds. assessing the metabolic status of dried pleopeltis through aqueous redox dyes is problematic because tissue rehydrates.
1091," exposure of plants to heat leads to senescence, necrotic symptoms, or apoptosis. pleopeltis, like most plants, responds to heat by enhanced production of ros. ros activate signal transduction and ultimately defense mechanisms and pcd ( burbridge et al., 2006 ). decrease of hydroperoxide ( figure 7 ) above 40°c indicates damaging shifts in the redox equilibrium."
1092," cat, an important enzyme for the detoxification of h 2 o 2, is sensitive to elevated temperatures. The decreased availability of antioxidants or activity of reducing enzymes likely enhances ros toxicity. The accumulation of the oxidized form of gsh ( gssg ) in chloroplasts and vacuoles is important for redox regulation."
1093,"The fa composition of pleopeltis fronds changes with temperature and hydration. increasing temperature reduces desaturation and overall fa quantity, which indicates that heat interferes with either fatty acid synthesis and / or stimulates fatty acid breakdown. saturated fas reduce membrane fluidity and enhance integrity. both parameters are important for surviving high temperatures."
1094," fa profiling can be an effective stress indicator. future studies will decipher how the fa profile changes with the extent and duration of stress, and during recovery. dried material undergoes metabolic reactions of lipids and longevity has been attributed to “ differences in the structure or mobility of molecules within the solidified cytoplasm ”"
1095,Dried fronds recovered after exposure up to 55°c while thermo - tolerance of hydrated fronds was limited to 40°c. The difference in heat tolerance between hydrated and dried fronds indicates that dehydration protects pleopeltis from heat damage. Our data further illustrate the adaptability of this epiphytic fern to cope with environmental stress.
1096,"Microgravity causes heart dysfunction in a fly cardiac model. hearts are less contractile and exhibit changes in genes and proteins that maintain heart structure and function. effects are seen in several lines of flies, suggesting a common response to microgravity. understanding the effects of microgravity on human organs is crucial to exploration of low - earth orbit and the moon."
1097,Several fungal and bacterial samples were launched in september 2019 on a large nasa scientific balloon flight to the middle stratosphere ( km altitude ) where radiation levels resembled values at the equatorial mars surface. spores from the fungus a. niger and cells from the gram - ( – ) bacterium s. shabanensis were the most resistant with a 2 - and 4 - log reduction. exposed buttiauxella sp. mase - im - 9 was completely inactivated.
1098," introduction mariner iv was the first successful robotic mission to mars producing surface photos and preliminary data used to model atmospheric pressure, layer heights, and temperature. in the half century since that first pioneering mission, orbital and surface rover missions have continued to characterize the mars environment. understanding microbial adaptations to either isolated and combined extreme environmental stressors helps ( i) establish the limits of life on earth as we know it."
1099,"In the middle stratosphere during daytime hours, the following mars - like factors are simultaneously present : intense, full spectrum ultraviolet ( uv ) radiation, high energy ionizing radiation ( including secondary scattering ), desiccation, hypoxia, and ultralow temperatures and pressures. taken together, these combined conditions cannot be found naturally anywhere on the surface of the earth and would be challenging to easily reproduce in laboratory - based experiments. reaching the middle Stratosphere is relatively achievable compared to suborbital and orbital spaceflight investigations."
1100,"Four microorganisms relevant to astrobiology and space biology were flown inside the microbes in atmosphere for radiation, survival, and biological outcomes experiment ( marsbox ) payload. The two bacterial extremophiles, salinisphaera shabanensis and buttiauxella sp. mase - im - 9, were included to test the hypothesis that terrestrial microbial strains, isolated from extreme mars - analog environments, can withstand the stress factors of a martian - like environment."
1101,Marsbox is the most robust mars analog. from the first marsbox mission. It was launched in 2009 and is currently on its second mission. The mission is scheduled to return to Earth in 2018. It is the first mission to orbit the Earth since the Apollo 11 mission in 1969.
1102,"This study exposed different microorganisms ( aspergillus niger, staphylococcus capitis subsp. capitis, salinisphaera shabanensis, and buttiauxella sp. mase - im - 9 ) to a mars analog environment. The robust simulation of mars environmental conditions was made possible with access to earth ’ s middle stratosphere onboard a scientific balloon flight."
1103,"M - 42 ionizing radiation data in the following sub - section, we will only provide a snapshot of the data measured with the m - 42 instrument. in figure 5, we provide the count rate of the silicon diode for the whole time the system was powered. at cruising altitude, we saw a nearly constant count rate which results in a dose rate of 75. 5 ± 13 μgy per day. in total we measured a dose of 20. 9 μgy for the entire mission, equivalent to around 10 days of natural background radiation received in the dlr laboratory in cologne."
1104,"Survival fraction ( n / n0) of tested strains after exposure to mars simulated conditions aboard the marsbox payload. survival and metabolic activity of staphylococcus capitis subsp. capitis for s. shabanensis. buttiauxella sp. mase - im - 9 showed no growth, even in the laboratory controls."
1105,Aspergillus niger spores were the most resistant to all tested conditions. Salinisphaera shabanensis was able to endure 5 months of desiccation. With resazurin assay no metabolic activity was detected for buttiauxella sp. mase - im - 9.
1106,"Survival, germination, and metabolic activity were compared between spore monolayer and spore multilayer. in uv - shielded martian - like conditions, the presence of a multilayers was shown to significantly decrease survival ( p = 0. 01 ) and germination rate ( p < 0. 004 ) ( figure 8 ) but to significantly increase metabolic activity ( p > 0. 02) ( figure 7). In uv- exposed, mars - like. conditions, a. niger spores were significantly faster in reaching the metabolic maximum than monolayers spores, in all tested conditions ( table 4)."
1107," multilayer spores were significantly faster in reaching the metabolic maximum than monolayer spores, in all tested conditions ( table 4 ). table 4 impact of spore monolayers versus spore multilayers in a. niger resistance to mars - like conditions. monollayer multillayer f p - value survival fraction a lab control 5. 3 × 10 – 1 ± 1. 8 × 10 - 1 1. 1 ×10 – 1. 5 metabolic max. b lab control 20 % ± 5 23 % ± 1 ↑ 0. 6 uv shielded 29 %. ± 1 36 % ± 0. 1 ↓ 0. 002 * time until max. c lab control 29"
1108,"In this study, bacterial and fungal strains were exposed to mars - like environmental conditions onboard the marsbox payload during a 7 h balloon flight to the middle stratosphere. The tested microorganisms ( aspergillus niger, staphylococcus capitis subsp. capitis, salinisphaera shabanensis, and buttiauxella sp. mase - im - 9 ) were chosen based on astrobiology and space biology relevance."
1109,"A. niger spores may cause respiratory diseases, especially when in closed indoor habitats such as the iss. This motivates further study on how the species responds to spaceflight conditions, and consequent implications for astronaut health. The staphylococcus capitis subsp. k1 -2 - 2 - 23 ( dsm 111179 ) used in this study was isolated aboard the iss within an indoor exposure experiment."
1110,We measured ionizing radiation in the middle stratosphere with the m - 42 active dosimeter. This was the first successful flight test in preparation for the dosimetry suite onboard the upcoming matroshka astrorad radiation experiment on the nasa artemis i mission. A more comprehensive radiation biophysics analysis will be reported later alongside additional balloon flight measurements from a joint nasa - dlr long - duration antarctic mission flown in december 2019.
1111,"Bacterium s. shabanensis, and the human skin associated bacterium. s. capitis survived the uv - shielded mars - like environment during the balloon flight. Results suggest that bacterial bioburden embedded deep inside of spacecraft sent to mars might remain viable for longer periods of time ( > 5 h)"
1112,"Bacterial species s. shabanensis showed survival under long - term desiccation and sunlight exposed flight conditions. cells of s. capitis subsp. capsitis k1 - 2 - 2-2 - 23 were inactivated from the flight uv - exposure but did partially survive the uv- shielded layer of the trex - box. The last bacterial species flown in this experiment, buttiauxella sp. mase - im - 9, did not survive long -term desicitation."
1113,"A. niger spores survive mars - like conditions while bacterial cells were sensitive to uv exposure in the middle stratosphere. The spores of the aspergillus genus might be associated with uv protection roles ( blachowicz et al., 2020 ). The ubiquitous presense of a. n Niger spores in human indoor - closed habitats might be linked to their protection from uv radiation."
1114,"The ubiquitous presense of a. niger spores in human indoor - closed habitats, and their high resistance to outer space conditions, suggests these will likely travel with us to mars. A. - melanin ( a pigment ) and fumiquinazoline might be associated with uv protection roles ( blachowicz et al., 2020 )."
1115,"A niger spore cell wall is remodeled and no longer provides protection to extreme conditions. Calcofluor white is a non - specific fluorochrom that can bind to 1, 3 - and 1, 4 - β polysaccharides on chitin and cellulose."
1116,"A variety of terrestrial analogs and simulation chambers have been used to predict outcomes for microbial exposure to mars - like conditions. The renewed focus on mars robotic and human exploration e. g., mars 2020, mars sample return ( nasa, 2020 ) and exomars 2022 ( esa, 2020) amplifies the need for additional mars analog studies in the coming years."
1117,"Fungal spore sensitivity to extreme heat or to high doses of combined sources of space radiation, as well as to other factors that affect survivability ( e. g., regolith reactive compounds or regolith shielding ), should be further evaluated to better assess the forward contamination potential in mars analog environments."
1118,Transcriptomic datasets of the plant model organism arabidopsis thaliana grown in the international space station provided by genelab have been mined to isolate the impact of spaceflight microgravity on gene expressions related to root growth. A set of computational tools is used to identify the hub genes that respond differently in spaceflight.
1119,"Nasa has developed a consensus pipeline for analyzing short - read rna - sequencing data from spaceflight - associated experiments. The pipeline includes quality control, read trimming, mapping, and gene quantification steps, culminating in the detection of differentially expressed genes. The data analysis pipeline and the results of its execution using data submitted to genelab are now all publicly available through thegenelab database."
1120,"The nasa genelab database was created as a central repository for spaceflight - related omics - data. The most prevalent data type in this repository is rna - sequencing from organisms exposed to spaceflight conditions. The repository includes data from experiments that profile transcription, dna / rna methylation, protein expression, metabolite pools and metagenomes."
1121," nasa ' s genelab and ames life sciences data archive ( alsda ) projects have put forward an ambitious strategy focused on integrating data, metadata, and biospecimens. one of the first steps in this effort is the ability to analyze how experimental factors common to multiple datasets impact molecular signaling. such meta - analysis can only occur if metadata, data, and processed data are harmonized."
1122,"We present the rna - seq consensus pipeline ( rcp) developed by the genelab awg. the rcp includes three distinct steps : data pre - processing, data processing, and differential gene expression computation / annotation. The rcp has been integrated into thegenelab database, and files produced by the rCP are and will continue to be publicly available."
1123,". methods all methods can be found in the accompanying transparent methods supplemental file. All methods are transparent. methods and can be used in the same way as any other transparent methods. methods. For confidential support call the Samaritans on 08457 90 90 90 or visit a local Samaritans branch, see www.samaritans.org for details."
1124,"There are three distinct steps to the rcp, the first of which is data preprocessing. The pipeline begins with quality control ( qc ) of raw fastq files from a short - read illumina sequencer using the fastqc software ( andrews, 2010 ) The pipeline then uses trimgalore to remove sequencing adapters and low - quality bases that would disrupt read mapping. trimmed reads are then used as input data for fastqC followed by multiqc to generate trimmed read quality metrics."
1125,"Trimmed reads are first aligned to the reference genome with star, a splice - aware aligner ( dobin et al., 2013 ). star must be run in two steps. the first step is to create indexed genome files to assist read mapping. the second step of star mapping is to use the indexed reference genome and the trimmed reads from the preprocessing step in order to map the reads to the genome."
1126,"Star mapping output data are in binary alignment map ( bam ) format, which has a separate entry for each mapped read and states which transcript each read is mapped to. splice sites are detected in the initial mapping to the reference and used to build a new reference. reads are then re - mapped to this dynamically generated reference to improve the quantification of splice isoforms ( dobin et al., 2013 ). users are provided with these results for further analysis of differential splicing."
1127,The data are used to compute differentially expressed genes. a list of the reference genomes used in the genelab pipeline is available in table s2. isoform counts are also generated as an option to look at differential isoform expression but are not used during differential gene expression calculation in the rcp.
1128,"The star aligner consistently performs better than or on par with the tools tested for the indicated criteria. The r program deseq2 is run in order to determine which genes are differentially expressed between experimental conditions using gene count files from rsem. Once reads have been mapped and quantified, differential expression analysis is performed using the Deseq2 r package."
1129,"The genelab dge r script requires three inputs : the quantified count data from the previous ( rsem ) step; sample metadata from the investigation, study, and assay ( isa ) tables in the isa. zip file; and the organisms. csv file ( table s3 ), which is used to specify the organism used in the study and relevant gene annotations to load. because samples from somegenelab rna - seq datasets contain ercc spike - in and others do not, there are two versions of the dge. r script."
1130,"After metadata formatting, the rsem gene count data files from each sample are listed and re - ordered. These files are then imported with the r package, tximport ( soneson et al., 2015 ), and sample names are assigned. A deseqdataset object is then created using the formatted metadata and the count data that was imported with tximport. These filtered data are then prepared for normalization and dge analysis with deseq2."
1131,"For deseq2 analysis with ercc - normalization ( data s2 ), the size factor object of the non - ercc data is replaced with group b ercc size factors for re - scaling in the first Deseq2 step. group bErcc genes contain the same concentration in both mix1 and mix 2. only group b Ercc genes are used for generating the size factors. after normalization, the likelihood ratio test design is applied to the normalized data to generate the f statistic."
1132,"The r script reads the organisms. csv file to indicate the bioconductor annotationdata package needed. the current gene annotation database for the organism specified at the beginning of the r script is then loaded. dge tables containing normalized counts for each sample, pairwise dge results, and current gene annotations as well as computer - readable dge Tables are created."
1133," normalized count data for each gene across all samples, and for samples within each respective group, are calculated and added as columns to the dge output tables. a column containing the f statistic p value, calculated previously, is also added. principal component analysis ( pca ) is also performed on the normalized countData and used to create pca plots for the genelab data visualization portal."
1134,At1g01030 asu1 encodes a dicer homolog … nm _ 001197952 839574 3702. 2 na truncated version of the differential _ expression. csv file provided as genelab processed data for glds - 251. First 7 columns of the output table contain gene ids and annotations.
1135," downstream analyses were performed using processed data from select samples from rnaseq datasets hosted on genelab. These datasets met a specific set of criteria to be considered for downstream analysis. To showcase the value of using a consensus pipeline and publishing the processed data, we published the data from each step of the pipeline."
1136,"Only samples derived from animals flown in space and respective ground control samples. Only studies that used the same preservation protocol ( liver samples extracted from frozen carcasses post - mission ) and library preparation method ( ribo - depletion ), and samples that contained ercc spike - in to evaluate outputs with and without ercc normalization. select samples from two genelab datasets."
1137,"Only the later ( iss - terminal ) set of flt and respective gc samples met criteria 2 and 3, so the glds - 245 processed data files were filtered to remove all other samples. these results can then be further evaluated to identify similarities and differences in gene expression between these two studies and draw novel conclusions about the effects of spaceflight."
1138," heatmaps were generated using data in the differential expression tables for each respective dataset on the nasa genelab data repository. all samples included were derived from frozen carcasses post - mission and utilized the ribo - depletion library preparation method. for go terms, the number on the left corresponds to go terms enriched in flt samples. for gc samples, the numbers on the right correspond to go term enriched in gC samples."
1139,"The differentially expressed genes calculated by the rcp can be further explored with a variety of tools designed for higher - order analysis. tools that can look for enriched pathways, gene ontology terms, or protein and / or metabolite networks. popular software tools among the genelab working group members include webgestalt, string, gsea, piano and toppfun."
1140,"At least three biological replicates are required for the pipeline, specifically for deseq2, to perform its statistical methods. More advanced rcp users might have additional data inquiries that fall beyond the scope of this pipeline. There are two parts of the pipeline that include additional output that are not used in our differential gene expression computation."
1141,"Long - reads are typically used for dna sequencing and were recently highlighted on board of the iss using ont for de novo assembly of the escherichia coli genome from raw reads. Long - reads offer some advantages for rna - seq as well, with less ambiguity for genes and isoforms detection, much faster mapping, potential identification of genes not yet known from reference genomes, and eventually less bias in dge."
1142,All software packages are open source and are linked in the methods section. add functionality to process unique molecular identifiers ( umis ) that can identify pcr duplicates using tools such as umi tools. Transcriptomic data will be integrated with proteomic and metabolomics data. This will help further understand the significance of gene expression changes to metabolic “ fitness ” in the spaceflight environment.
1143," whole - genome sequences were generated from 96 bacterial strains of 14 species that were isolated from international space station surfaces during the microbial tracking 2 study. characterization of this closed habitat ' s microbiome enables tracking of the spread and evolution of secondary pathogens, which is vital for astronaut health."
1144,"Plants possess a systemic signaling system whereby local stimuli can lead to rapid, plant - wide responses. These changes trigger responses ranging from the production of hormones, to changes in the levels of primary metabolites and shifts in patterns of gene expression. Researchers are now beginning to uncover the molecular machineries behind this rapid communications network."
1145,"Using a ground - based model to simulate spaceflight [ 21 - days of single - housed, hindlimb unloading ( hlu ) combined with continuous low - dose gamma irradiation ( ldr, total dose of 0. 04 gy ) ] an in - depth survey of the immune and hematological systems of mice at 7 - days post - exposure was performed. Although immune differentials were not changed, deg analysis of the spleen revealed expression profiles associated with inflammation and dysregulated immune function."
1146,Readaptation to nominal gravitational environments is also an important factor in astronaut health. this is particularly important for future exploratory missions to the moon ( 0. 166 g ) or mars (0. 38 g ) involving long - duration exposures to microgravity and elevated doses of ionizing irradiation. understanding how immune and hematological cells compensate in response to the changing gravitational environment becomes particularly important.
1147,"Ground - based models of spaceflight are developed to easily explore the impacts of the spaceflight environment on physiology. here, we expand on this work, using rna - sequencing of splenic tissues and complete blood cell ( cbc ) counts to characterize relevant immune and hematological pathways engaged after 1 - week readaptation following simulated spaceflight conditions."
1148,"Six-month-old, female c57bl / 6j mice ( jackson laboratory) were acclimatized in standard habitats at 20 °c with a 12 h : 12 h light : dark cycle for 7 days. animals were housed one per cage and assigned to one of four groups : ( 1 ) control ( n = 6 ) ; ( 2 ) hindlimb unloaded ( hlu) ; ( 3 ) low - dose irradiated ( ldr, total dose 0. 04 gy ) ; and ( 4 ) simspace. after 7 - day post - simspace, mice were co 2 euthanized and spleens were collected and frozen. rna was isolated from"
1149," whole blood was collected via cardiac punch in [ k2 ] - ethylenediaminetetraacetic acid ( edta ) coated syringes immediately following euthanasia. parameters characterized include red blood cell ( rbc ), platelet ( plt ), and white blood cells ( wbc ) counts. mean corpuscular volume ( mcv, mean volume per rbc ) and mean hemoglobin concentration ( hgb) were also reported."
1150,"Libraries were amplified by pcr ( 17 cycles ) on a mastercycler pro ( eppendorf ) and purified with rnaclean xp agencourt beads ( beckman coulter, pasadena, ca, usa ). libraries were sequenced on a hiseq 4000 ( illumina, mira loma, ca,. usa ) to generate 15 – 30 m 75 - bp single end reads per sample. murine spleen deg that were orthologous to human blood gene - related diseases were identified using the network analyst global enrichnetwork tool."
1151,"The blood gene - related gene list was mapped to determine common pathways. differential expression analysis was performed in r deseq2. all groups were compared using the wald test and the likelihood ratio test. a one - way anova with post - hoc ( sidak ) test was performed for the calculated coefficient of gene expression variation per gene. an unpaired, parametric t test with welch ’ s correction was performed."
1152,Seven - days post - simulated spaceflight conditions result in distinct gene expression profiles. Principal component analysis ( pca ) plots were generated with each cohort. venn diagrams for downregulated ( b ) and upregulated ( c ) genes. calculated coefficient of gene expression variation ( cv ) per gene plotted against log 2 of the mean normalized count for that gene ( + 1 ) in each group.
1153,"7 - days post - simulated spaceflight conditions resulted in dysregulated immune and hematological system. blood cell types include, cd19, h2 - dmb2, alox5, and rhd ( fig. 2 b ). the proportion of upregulated : downregulated deg is approximately three : one."
1154," splenic degs are altered post - simulated spaceflight, with minimal differences in immune population distributions in circulating blood. There were significantly different deg between controls and post - simspace cohorts with functional associations to leukocyte subtype. There was no significant differences in population distributions."
1155," murine spleen deg that were orthologous to human blood disease / disorders markers, as defined by genecards human gene database and malacards human disease databases, were identified. using the network analyst global enrichnetwork tool, blood disease and disorder markers were mapped to determine common pathways. the results showed three genes bcl11a, nedd4l, and aspn had common pathways involved in regulation of blood pressure, protein modifications, transforming growth factor - β signaling, anatomical structure regulation, and negative regulation of developmental processes."
1156,"Human orthologs to mouse deg. cell numbers were normalized to controls. data represents ± sem, n = 6 per group. an unpaired, parametric t test with welch ’ s correction was performed for ( a – g ), * p < 0. 05."
1157,"Systems biology approach was applied to assess the effects of the immune and hematological outcomes post - simulated spaceflight. ground - based animal models are a useful alternative that provides valuable insight into these outcomes. spleens and blood of mice were analyzed at 7 - days post - simspace. transcriptomic analysis of the spleen displayed genes involved in signal transduction, metabolism, cell cycle, chromatin organization and dna repair pathways are altered."
1158,"Ldr, hlu, and simspace independently trigger divergent pathways post - exposure. post - hlu appears to produce a large number of transcriptional changes compared to post - ldr alone, indicating altered gravity may cause pronounced physiological impairments. 33 genes were downregulated and 95 genes were upregulated, compared to controls."
1159,"Multiple genes involved in metabolism were upregulated, including the insulin signaling receptor, igf2r. glycoprotein forming genes, b4galt2 and b4Galt3 were both upregulated. cell cycle pathways were also altered, including upregulation of genes sccca1, kif24, myh10, and tor1aip1. chromatin organization and remodeling genes chd3 and ncoa3 downregulation were also identified."
